NOM;ANNEE;FDis;FDiv;FEve;FRic;FGR-6;gr1;gr2;gr3;gr4;gr5;gr6;RaoQ;sing;nbsp;forag;diet;nest;migr;date;home;eggs;mass;AEGCAU;ALAARV;ALERUF;ANTTRI;CARCAN;CARCAR;CARCHL;CERBRA;CISJUN;COLPAL;COTCOT;CUCCAN;DENMAJ;DENMED;DENMIN;DRYMAR;EMBCIR;EMBCIT;ERIRUB;FRICOE;GARGLA;HIPPOL;JYNTOR;LANCOL;LULARB;LUSMEG;MERAPI;MILCAL;MOTALB;MOTFLA;MUSSTR;ORIORI;PARCAE;PARMAJ;PARPAL;PHACOL;PHYBON;PHYCOL;PICPIC;PICVIR;PRUMOD;PYRPYR;REGIGN;SAXTOR;SERSER;SITEUR;STRDEC;STRTUR;STUVUL;SYLATR;SYLBOR;SYLCOM;TROTRO;TURMER;TURPHI;TURVIS;UPUEPO
A44;1981;0.36203464860213;0.732056621987366;0.827974544070608;0.151821713503713;5;10;10;4;8;0;2;0.134529473881341;11;11;ground;mixed;shrub;resid;earlapr;small;4.73529411764706;30.0882352941176;0;4;0;0;2;0;2;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;4;2;0;0;0;0;4;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;6;0;2;0;2;0;0;0
A45;1981;0.381914284813783;0.829537223750902;0.832959600263336;0.224840166685082;6;16;16;4;4;2;10;0.149457122004734;15;15;under;mixed;ground;short;lateapr;small;5.23076923076923;34.2269230769231;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;0;0;0;0;0;0;2;0;4;0;0;0;0;4;4;0;0;0;2;0;0;0;0;2;0;0;2;0;0;0;8;0;2;2;6;4;0;0
A46;1981;0.380221371698289;0.812850802351303;0.903119759487054;0.143022974405226;5;4;8;4;4;0;2;0.15187912365595;10;10;ground;mixed;ground;short;earlapr;small;4.36363636363636;46.2545454545455;0;4;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;2;2;2;0;0;0;0;0;0;0
A47;1981;0.363819194350223;0.739370001056235;0.888748212239048;0.192875562347728;6;8;10;6;2;2;2;0.13365474545543;13;13;ground;insect;shrub;short;earlapr;small;4.63333333333333;23.6333333333333;0;2;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;2;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;2;4;0;2;2;0;0;0;0
A48;1981;0.391279344999851;0.745110119813355;0.872093959613641;0.165851911186182;6;6;8;2;8;2;2;0.157670662935459;11;11;under;mixed;shrub;resid;lateapr;small;4.32142857142857;56.6285714285714;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;2;0;2;0;0;0;4;0;6;0;0;0;2;0;0;0
A49;1981;0.391898448604235;0.781723414790074;0.726299202726738;0.226363636071957;5;21;5;12;4;0;5;0.158084538157036;16;16;ground;insect;ground;resid;earlapr;small;5.77659574468085;41.7829787234043;0;2;0;2;0;1;2;0;0;0;0;4;0;0;0;0;3;2;2;0;2;0;0;0;0;4;0;0;0;0;0;0;4;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;6;4;1;0;0
A50;1981;0.360630987655756;0.768066876826213;0.845707619801229;0.180650763444874;4;12;10;9;2;0;0;0.134872463412711;15;15;ground;mixed;ground;short;lateapr;small;5.54545454545455;36.7393939393939;0;2;0;2;0;2;0;0;0;0;2;0;0;0;0;0;2;2;2;0;0;0;0;0;0;2;0;0;0;1;0;0;2;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;4;0;2;4;0;0;0;0
A51;1981;0.362786468369496;0.63779278515397;0.836126465273906;0.135601224781362;3;10;18;0;0;0;8;0.13923775463673;11;11;canopy;mixed;ground;short;earlapr;small;5.63888888888889;76.0166666666667;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;8;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;2;0;2;0;0;0;0;2;0;0;0;0;0;0;2;0;0;4;4;2;0;0
A52;1981;0.355792786989352;0.781227967326079;0.878214205889863;0.142940724192788;4;10;10;0;0;2;6;0.132659695708131;10;10;canopy;mixed;ground;short;earlapr;small;5.10714285714286;37.5214285714286;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;2;4;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;4;4;0;2;0
A53;1981;0.287193240562369;0.776144701350089;0.795361031421551;0.0667952458882301;4;8;2;2;6;0;0;0.0893433282236848;8;8;ground;seeds;ground;resid;may;small;4.11111111111111;29.1777777777778;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;2;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0
A54;1981;0.380886492656892;0.750451934590839;0.83252926566997;0.178701223129715;5;6;8;6;6;0;2;0.146412555323531;13;13;ground;mixed;shrub;short;earlapr;small;4.78571428571429;40.7571428571429;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;2;2;0;2;0;0;0;0;0;2;0;2;2;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;4;0;2;0;0;0;0;0
A55;1981;0.306499361044416;0.675123372287083;0.729738457173173;0.0705826079436986;5;14;8;4;4;0;2;0.10200287614518;9;9;ground;mixed;ground;resid;may;small;4.25;43.38125;0;6;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;6;0;0;0;0;0;2;0;0;0;2;0;0;0
